Name,Value
Executable,qft
Command,"/mnt/lustre/a2fs-work1/work/d35/d35/kubad35/quantum-circuits/build/qft -q 38 -b 32 -m builtin"
"Nodes (nodes)",64
"Physical cores per node (cores/node)",128
"Logical cores per node (cores/node)",256
"Memory per node (B)",269662179200
"Tasks (processes)",64
"Profiled ranks",
"OpenMP threads",128
Machine,nid003226
"Start time","Tue Aug 1 14:45:26 2023"
"Total time (seconds)",350
"Full path",/mnt/lustre/a2fs-work1/work/d35/d35/kubad35/quantum-circuits/build
"Input file",
Notes,
Bound,Compute-bound

"Compute (%)",60.39498730964467
"MPI (%)",39.60501269035533
"I/O (%)",0
"Overview advice",

"CPU Single-core code (%)",0.03677146534289409
"CPU OpenMP regions (%)",99.9632285346571
"CPU ",
"CPU Scalar numeric ops (%)",30.68288035267754
"CPU Vector numeric ops (%)",6.5108422120202585
"CPU Memory accesses (%)",62.80627743530219
"CPU Advice 1","The per-core performance is memory-bound. Use a profiler to identify time-consuming loops and check their cache performance."
"CPU Advice 2","Little time is spent in vectorized instructions. Check the compiler's vectorization advice to see why key loops could not be vectorized."
"CPU Error",

"MPI Time in collective calls (%)",0.7529939520166621
"MPI Time in point-to-point calls (%)",99.24700604798335
"MPI Effective process collective rate (B/s)",60.33908202824693
"MPI Effective process point-to-point rate (B/s)",12101440885.903772
"MPI Advice 1","Most of the time is spent in point-to-point calls with a high transfer rate. It may be possible to improve this further by overlapping communication and computation or reducing the amount of communication required."
"MPI Advice 2",
"MPI Error",

"I/O Time in reads (%)",0
"I/O Time in writes (%)",0
"I/O Effective process read rate (B/s)",0
"I/O Effective process write rate (B/s)",0
"I/O Advice 1","No time is spent in I/O operations. There's nothing to optimize here!"
"I/O Advice 2",
"I/O Error",

"OpenMP Computation (%)",95.32452672762004
"OpenMP Synchronization (%)",4.675473272379954
"OpenMP Physical core utilization (%)",100
"OpenMP System load (%)",60.73673461294416
"OpenMP Advice 1","OpenMP thread performance looks good. Check the CPU breakdown for advice on improving code efficiency."
"OpenMP Advice 2",
"OpenMP Error",

"Memory Mean process memory usage (B)",136823143507.55736
"Memory Peak process memory usage (B)",137609932800
"Memory Peak node memory usage (%)",56
"Memory Advice 1","The peak node memory usage is modest. Running with fewer MPI processes and more data on each process may be more efficient."
"Memory Advice 2",
"Memory Error",

"Energy CPU (%)",
"Energy System (%)",100
"Energy Mean node power (W)",286.8057899746193
"Energy Peak node power (W)",372
"Energy Total (Wh)",1771.1225
"Energy Advice 1","CPU metrics: Error reading /sys/class/powercap/intel-rapl:0/energy_uj: Permission denied"
"Energy Advice 2",
"Energy Error",

