Name,Value
Executable,hbench
Command,"/mnt/lustre/a2fs-work1/work/d35/d35/kubad35/quantum-circuits/build/hbench -q 38 -t 37 -n 50"
"Nodes (nodes)",64
"Physical cores per node (cores/node)",128
"Logical cores per node (cores/node)",256
"Memory per node (B)",269662174976
"Tasks (processes)",64
"Profiled ranks",
"OpenMP threads",128
Machine,nid004200
"Start time","Tue Aug 1 14:15:56 2023"
"Total time (seconds)",545
"Full path",/mnt/lustre/a2fs-work1/work/d35/d35/kubad35/quantum-circuits/build
"Input file",
Notes,
Bound,MPI-bound

"Compute (%)",11.514062499999994
"MPI (%)",88.4859375
"I/O (%)",0
"Overview advice",

"CPU Single-core code (%)",0.24426652191608283
"CPU OpenMP regions (%)",99.75573347808391
"CPU ",
"CPU Scalar numeric ops (%)",7.325422221394029
"CPU Vector numeric ops (%)",0
"CPU Memory accesses (%)",92.67457777860596
"CPU Advice 1","The per-core performance is memory-bound. Use a profiler to identify time-consuming loops and check their cache performance."
"CPU Advice 2","No time is spent in vectorized instructions. Check the compiler's vectorization advice to see why key loops could not be vectorized."
"CPU Error",

"MPI Time in collective calls (%)",7.402306157404955
"MPI Time in point-to-point calls (%)",92.59769384259505
"MPI Effective process collective rate (B/s)",0.4623023495253801
"MPI Effective process point-to-point rate (B/s)",15411880598.251957
"MPI Advice 1","Most of the time is spent in point-to-point calls with a high transfer rate. It may be possible to improve this further by overlapping communication and computation or reducing the amount of communication required."
"MPI Advice 2",
"MPI Error",

"I/O Time in reads (%)",0
"I/O Time in writes (%)",0
"I/O Effective process read rate (B/s)",0
"I/O Effective process write rate (B/s)",0
"I/O Advice 1","No time is spent in I/O operations. There's nothing to optimize here!"
"I/O Advice 2",
"I/O Error",

"OpenMP Computation (%)",95.03244815926658
"OpenMP Synchronization (%)",4.967551840733426
"OpenMP Physical core utilization (%)",100
"OpenMP System load (%)",12.19678955078125
"OpenMP Advice 1","OpenMP thread performance looks good. Check the CPU breakdown for advice on improving code efficiency."
"OpenMP Advice 2",
"OpenMP Error",

"Memory Mean process memory usage (B)",135686236588.224
"Memory Peak process memory usage (B)",137648250880
"Memory Peak node memory usage (%)",56
"Memory Advice 1","The peak node memory usage is modest. Running with fewer MPI processes and more data on each process may be more efficient."
"Memory Advice 2",
"Memory Error",

"Energy CPU (%)",
"Energy System (%)",100
"Energy Mean node power (W)",244.753328125
"Energy Peak node power (W)",351
"Energy Total (Wh)",2383.456111111111
"Energy Advice 1","CPU metrics: Error reading /sys/class/powercap/intel-rapl:0/energy_uj: Permission denied"
"Energy Advice 2",
"Energy Error",

