Name,Value
Executable,qft
Command,"/mnt/lustre/a2fs-work1/work/d35/d35/kubad35/quantum-circuits/build/qft -q 38 -b 32 -m blocking"
"Nodes (nodes)",64
"Physical cores per node (cores/node)",128
"Logical cores per node (cores/node)",256
"Memory per node (B)",269662183424
"Tasks (processes)",64
"Profiled ranks",
"OpenMP threads",128
Machine,nid001024
"Start time","Tue Aug 1 14:45:36 2023"
"Total time (seconds)",279
"Full path",/mnt/lustre/a2fs-work1/work/d35/d35/kubad35/quantum-circuits/build
"Input file",
Notes,
Bound,Compute-bound

"Compute (%)",75.107697740113
"MPI (%)",24.892302259887007
"I/O (%)",0
"Overview advice","As little time is spent in MPI calls, this code may also benefit from running at larger scales."

"CPU Single-core code (%)",0.01645471427563783
"CPU OpenMP regions (%)",99.98354528572436
"CPU ",
"CPU Scalar numeric ops (%)",27.268149467071446
"CPU Vector numeric ops (%)",6.884323538333793
"CPU Memory accesses (%)",65.43765258660774
"CPU Advice 1","The per-core performance is memory-bound. Use a profiler to identify time-consuming loops and check their cache performance."
"CPU Advice 2","Little time is spent in vectorized instructions. Check the compiler's vectorization advice to see why key loops could not be vectorized."
"CPU Error",

"MPI Time in collective calls (%)",7.468614795375558
"MPI Time in point-to-point calls (%)",92.53138520462444
"MPI Effective process collective rate (B/s)",14.137311665169909
"MPI Effective process point-to-point rate (B/s)",12798298272.162994
"MPI Advice 1","Most of the time is spent in point-to-point calls with a high transfer rate. It may be possible to improve this further by overlapping communication and computation or reducing the amount of communication required."
"MPI Advice 2",
"MPI Error",

"I/O Time in reads (%)",0
"I/O Time in writes (%)",0
"I/O Effective process read rate (B/s)",0
"I/O Effective process write rate (B/s)",0
"I/O Advice 1","No time is spent in I/O operations. There's nothing to optimize here!"
"I/O Advice 2",
"I/O Error",

"OpenMP Computation (%)",95.80920613571682
"OpenMP Synchronization (%)",4.190793864283176
"OpenMP Physical core utilization (%)",100
"OpenMP System load (%)",75.3319484904661
"OpenMP Advice 1","OpenMP thread performance looks good. Check the CPU breakdown for advice on improving code efficiency."
"OpenMP Advice 2",
"OpenMP Error",

"Memory Mean process memory usage (B)",93668571063.46666
"Memory Peak process memory usage (B)",137603612672
"Memory Peak node memory usage (%)",56
"Memory Advice 1","The peak node memory usage is modest. Running with fewer MPI processes and more data on each process may be more efficient."
"Memory Advice 2",
"Memory Error",

"Energy CPU (%)",
"Energy System (%)",100
"Energy Mean node power (W)",314.34394420903953
"Energy Peak node power (W)",388
"Energy Total (Wh)",1554.6572222222221
"Energy Advice 1","CPU metrics: Error reading /sys/class/powercap/intel-rapl:0/energy_uj: Permission denied"
"Energy Advice 2",
"Energy Error",

